addr_state,mean_addr_state_total_acc
AK,23.846460618145564
AL,26.79404838364376
AR,26.05108695652174
AZ,25.037941006362058
CA,23.190055770205774
CO,25.68614165175147
CT,25.536555786555788
DC,24.07971656333038
DE,26.293233082706767
FL,24.205244158832162
GA,25.67324414715719
HI,23.136431784107945
IA,22.0
ID,14.6
IL,26.176161262050833
IN,26.76468330134357
KS,25.465614766299495
KY,26.808196264287705
LA,26.174162459843966
MA,24.809351705443866
MD,25.9957815528446
ME,5.0
MI,25.966706560765967
MN,25.303401777505364
MO,26.509474734042552
MS,27.920408163265307
MT,25.800543970988215
NC,24.861818894551156
NE,20.692307692307693
NH,25.59344262295082
NJ,25.242247253511334
NM,26.567710843373494
NV,24.073357594330588
NY,23.821953112870673
OH,25.124690951046645
OK,26.09561510353228
OR,24.03074366431242
PA,25.69442322383499
RI,25.154219793564057
SC,25.879721223021583
SD,27.458177278401998
TN,26.99360165118679
TX,26.559008128408273
UT,26.15566037735849
VA,26.108305472461726
VT,25.59147180192572
WA,23.83827042522695
WI,26.659915611814345
WV,26.38006230529595
WY,26.803046789989118
