sub_grade,mean_sub_grade_annual_income_commitment_rate
A1,3.615477571310214
A2,3.831132420091324
A3,4.112658227848101
A4,4.272734318555008
A5,4.473851911561493
B1,4.565205890373602
B2,4.815211208110392
B3,4.9452322054594875
B4,5.159770499836655
B5,5.130012367665975
C1,5.369580736020686
C2,5.623614610161554
C3,5.921726043619856
C4,6.203787178821698
C5,6.382978194554288
D1,6.337489561586638
D2,6.395023783388218
D3,6.550746368902695
D4,6.991196142617005
D5,7.284681950274459
E1,7.73074377867371
E2,7.89770071942446
E3,8.214455162558055
E4,8.436579661724785
E5,8.383094071533563
F1,8.374347826086957
F2,9.006955060898783
F3,8.717897196261681
F4,9.302635467980295
F5,9.385350949628407
G1,9.52304
G2,9.663076923076924
G3,9.886681222707425
G4,9.206381766381767
G5,8.572517006802721
