sub_grade,mean_sub_grade_revol_util
A1,29.153170356339526
A2,35.14211968935587
A3,39.4654859784903
A4,43.954966491458606
A5,47.12798398709752
B1,49.47959515495417
B2,52.570145553573106
B3,54.84902459210215
B4,56.00452468530325
B5,56.995278368882076
C1,57.925497135464795
C2,59.11624379042084
C3,59.253552703036284
C4,60.76511066084789
C5,61.33284761474113
D1,62.025135823429544
D2,62.33475419444648
D3,62.50692630871356
D4,63.48279302407932
D5,64.06873585515682
E1,64.4225309414546
E2,64.17577566320645
E3,65.43188047951334
E4,65.92991019214703
E5,66.41405305821665
F1,66.54121728161464
F2,66.3463835155593
F3,66.33962529274005
F4,66.78863664404689
F5,67.44694214876033
G1,65.79185779816514
G2,68.71839762611276
G3,69.2150655021834
G4,67.41031518624642
G5,68.23219178082192
