sub_grade,mean_sub_grade_tot_cur_bal
A1,200102.5318324139
A2,188129.17166866746
A3,189328.85082439153
A4,168335.80709944508
A5,170075.01833487907
B1,152866.41310577598
B2,146912.88147784863
B3,136031.74882154883
B4,133686.36222732492
B5,123289.66045498548
C1,126223.22218597063
C2,128439.81034954324
C3,132809.68957423582
C4,131682.4780851548
C5,134875.7054803032
D1,125861.6677011909
D2,122948.39339109752
D3,119881.66422930681
D4,127982.97493658042
D5,125677.81819316196
E1,131013.36765420107
E2,131074.73796081037
E3,128929.18657494268
E4,132323.98027757488
E5,123976.52959861392
F1,128649.4221235664
F2,126960.62437562438
F3,116105.22043010753
F4,122724.39712230217
F5,126832.71008814887
G1,128448.74545454545
G2,135065.16
G3,145252.97900262466
G4,153040.9568627451
G5,153731.4351851852
